SchoolYear;RCDTS;School;Enrollment;FAEnrollment;iepp;eavpp;doepp;ALLCourses;FACourses;ALLTeachers;FATeachers;ALLTeachersCalc;FATeachersCalc
2017;1,50163E+14;Palmer Elem School;807;711;10396;176452;15378;7952;1409;34;2;34;2
2017;1,50163E+14;Parker Elem Community Academy;513;401;10396;176452;15378;4643;403;27;1;28;1
2017;1,50163E+14;Park Manor Elem School;351;292;10396;176452;15378;2309;296;14;1;16;3
2017;1,50163E+14;Parkside Elem Community Academy;251;0;10396;176452;15378;1594;0;13;0;13;0
2017;1,50163E+14;Pasteur Elem School;1024;518;10396;176452;15378;5847;730;31;9;32;10
2017;1,50163E+14;Peck Elem School;1463;637;10396;176452;15378;6649;1127;36;24;38;26
2017;1,50163E+14;Peirce Elem Intl Studies School;953;814;10396;176452;15378;8328;2166;43;24;48;29
2017;1,50163E+14;Penn Elem School;369;268;10396;176452;15378;2799;268;21;19;24;22
2017;1,50163E+14;Washington  H Elem School;388;297;10396;176452;15378;2749;307;18;15;18;15
2017;1,50163E+14;Pershing Elem Humanities Magnet;626;532;10396;176452;15378;7210;1065;34;24;34;24
2017;1,50163E+14;Peterson Elem School;867;742;10396;176452;15378;6623;1474;43;12;43;12
2017;1,50163E+14;Pickard Elem School;459;398;10396;176452;15378;4804;400;20;1;21;2
2017;1,50163E+14;Pirie Elem Fine Arts & Academic C;299;106;10396;176452;15378;2114;106;16;1;17;2
2017;1,50163E+14;Plamondon Elem School;157;128;10396;176452;15378;1430;128;8;2;8;2
2017;1,50163E+14;Portage Park Elem School;906;770;10396;176452;15378;9337;2104;51;28;56;33
2017;15016299025240C;Horizon Sci Academy - Southwest Charter;687;0;10396;176452;15378;;;;;;
2017;1,50163E+14;Prescott Elem School;349;304;10396;176452;15378;3177;304;17;1;17;1
2017;1,50163E+14;Prussing Elem School;682;582;10396;176452;15378;6971;1163;38;2;39;3
2017;1,50163E+14;Pulaski Intl Sch of Chicago;831;725;10396;176452;15378;8948;1311;44;30;44;30
2017;1,50163E+14;Pullman Elem School;362;309;10396;176452;15378;2752;325;14;1;14;1
2017;1,50163E+14;Ravenswood Elem School;514;443;10396;176452;15378;3945;1326;25;20;27;22
2017;1,50163E+14;Ray Elem School;650;426;10396;176452;15378;4790;648;32;2;32;2
2017;1,50163E+14;Reavis Elem Math & Sci Spec Schl;230;191;10396;176452;15378;1897;192;13;1;13;1
2017;15016299025241C;Great Lakes Academy Charter ES;255;0;10396;176452;15378;;;;;;
2017;1,50163E+14;Reilly Elem School;920;775;10396;176452;15378;9268;1478;45;19;47;21
2017;1,50163E+14;Reinberg Elem School;790;673;10396;176452;15378;8121;1347;43;31;45;33
2017;1,50163E+14;Revere Elem School;231;165;10396;176452;15378;1156;165;11;2;11;2
2017;1,50163E+14;Rogers Elem School;741;643;10396;176452;15378;6461;1290;39;5;41;7
2017;1,50163E+14;Ruggles Elem School;419;332;10396;176452;15378;2943;614;16;2;17;3
2017;1,50163E+14;Ryder Elem Math & Sci Spec School;399;325;10396;176452;15378;4967;1032;23;21;25;23
2017;15016299025242C;Foundations College Prep Charter;223;0;10396;176452;15378;44;0;;;;
2017;1,50163E+14;Sauganash Elem School;597;516;10396;176452;15378;4444;803;28;4;30;6
2017;1,50163E+14;Sawyer Elem School;1715;1533;10396;176452;15378;18434;2853;78;12;84;18
2017;1,50163E+14;Sayre Elem Language Academy;439;369;10396;176452;15378;4303;739;24;18;25;19
2017;1,50163E+14;Ashe Elem School;360;0;10396;176452;15378;2022;0;19;0;19;0
2017;1,50163E+14;Scammon Elem School;805;701;10396;176452;15378;6633;1224;35;5;36;6
2017;1,50163E+14;Schmid Elem School;190;0;10396;176452;15378;945;0;12;0;12;0
2017;1,50163E+14;Schubert Elem School;762;613;10396;176452;15378;6873;615;33;3;33;3
2017;1,50163E+14;Seward Elem Communication Arts Ac;715;225;10396;176452;15378;6743;226;39;2;39;2
2017;15016299025244C;Moving Everest Charter School;283;0;10396;176452;15378;;;;;;
2017;1,50163E+14;Sheridan Elem Math & Science Acad;563;499;10396;176452;15378;6198;499;29;23;29;23
2017;1,50163E+14;Mireles Elem Academy;618;15;10396;176452;15378;3944;15;27;3;27;3
2017;1,50163E+14;Sherman Elem School;304;231;10396;176452;15378;2368;231;15;1;15;1
2017;1,50163E+14;Sherwood Elem School;297;240;10396;176452;15378;2443;241;17;1;18;2
2017;1,50163E+14;Shields Elem School;858;512;10396;176452;15378;6084;712;42;3;42;3
2017;1,50163E+14;Shoesmith Elem School;383;326;10396;176452;15378;3050;327;20;1;21;2
2017;1,50163E+14;Shoop Math-Sci Tech Elem Academy;491;406;10396;176452;15378;3502;406;25;1;25;1
2017;1,50163E+14;Skinner Elem School;1083;910;10396;176452;15378;11002;1823;44;2;45;3
2017;1,50163E+14;Smyser Elem School;981;746;10396;176452;15378;8923;1555;43;34;48;39
2017;1,50163E+14;Smyth  J Elem School;434;350;10396;176452;15378;3765;351;25;1;25;1
2017;1,50163E+14;Solomon Elem School;312;232;10396;176452;15378;3079;411;16;9;17;10
2017;1,50163E+14;Spencer Technology Acad Elem Sch;711;565;10396;176452;15378;4674;596;39;3;40;4
2017;1,50163E+14;Stagg Elem School;450;0;10396;176452;15378;2539;0;26;0;26;0
2017;1,50163E+14;Stevenson Elem School;1228;1083;10396;176452;15378;12649;1621;64;30;66;32
2017;1,50163E+14;Stone Elem Scholastic Academy;631;533;10396;176452;15378;7530;1070;36;3;38;3
2017;1,50163E+14;Spry Elem Community School;586;483;10396;176452;15378;5204;758;36;22;36;22
2017;1,50163E+14;Stowe Elem School;667;566;10396;176452;15378;5929;1000;38;2;40;3
2017;1,50163E+14;Sullivan Elem School;517;429;10396;176452;15378;4237;430;32;24;32;24
2017;1,50163E+14;Sumner Elem Math & Sci Comm Acad;262;218;10396;176452;15378;2391;218;16;7;16;7
2017;1,50163E+14;Sutherland Elem School;625;546;10396;176452;15378;4908;830;32;12;32;12
2017;1,50163E+14;Swift Elem Specialty School;658;547;10396;176452;15378;6266;1211;37;25;39;27
2017;1,50163E+14;Talcott Elem School;497;434;10396;176452;15378;4399;1529;22;18;25;21
2017;1,50163E+14;Tanner Elem School;372;315;10396;176452;15378;3618;631;21;6;21;6
2017;1,50163E+14;Taylor Elem School;474;405;10396;176452;15378;5240;803;25;12;26;13
2017;1,50163E+14;Thorp  J N Elem School;356;285;10396;176452;15378;2408;289;19;4;19;4
2017;1,50163E+14;Thorp  O A Elem Scholastic Acad;846;748;10396;176452;15378;8130;1481;44;25;45;26
2017;1,50163E+14;Tilton Elem School;352;273;10396;176452;15378;2488;273;19;1;19;1
2017;1,50163E+14;Tonti Elem School;978;775;10396;176452;15378;9512;1585;46;34;46;34
2017;1,50163E+14;Twain Elem School;1169;1043;10396;176452;15378;13104;2090;51;4;52;5
2017;1,50163E+14;Vanderpoel Elem Magnet School;297;268;10396;176452;15378;2860;553;17;11;19;13
2017;1,50163E+14;Lavizzo Elem School;387;244;10396;176452;15378;3290;300;18;1;19;2
2017;1,50163E+14;Volta Elem School;878;766;10396;176452;15378;9556;1524;47;3;47;3
2017;1,50163E+14;Wacker Elem School;263;1;10396;176452;15378;1289;1;13;0;13;0
2017;1,50163E+14;Wadsworth Elem School;605;443;10396;176452;15378;6040;446;26;15;26;15
2017;1,50163E+14;Walsh Elem School;346;295;10396;176452;15378;2901;523;19;2;19;2
2017;1,50163E+14;Ward  J Elem School;546;474;10396;176452;15378;5876;952;23;18;24;18
